Part Name,Part Type,Quantity,Parent Assembly,Make / Buy,Material,Weight,Standard vs Custom,Fastener Flag
Cooling Fan Sub-Assembly,Sub-Assembly,1,Laptop Thermal Module,Buy,N/A,0 g,Custom,No
Fan Upper Housing,Mechanical,1,Cooling Fan Sub-Assembly,Buy,PC+ABS,17 g,Custom,No
Fan Lower Housing,Mechanical,1,Cooling Fan Sub-Assembly,Buy,PC+ABS,15 g,Custom,No
Fan Inlet Ring,Mechanical,1,Cooling Fan Sub-Assembly,Buy,PC+ABS,4 g,Custom,No
Fan Outlet Duct,Mechanical,1,Cooling Fan Sub-Assembly,Buy,PC+ABS,6 g,Custom,No
Impeller Wheel,Mechanical,1,Cooling Fan Sub-Assembly,Buy,Glass-Filled PBT,11 g,Custom,No
Impeller Hub Insert,Mechanical,1,Impeller Wheel,Buy,Steel,0.8 g,Custom,No
Dynamic Balance Weight,Mechanical,1,Impeller Wheel,Buy,Steel,0.25 g,Custom,No
Brushless DC Motor Assembly,Sub-Assembly,1,Cooling Fan Sub-Assembly,Buy,N/A,0 g,Custom,No
Rotor Permanent Magnet,Electrical,1,Brushless DC Motor Assembly,Buy,NdFeB,3.5 g,Standard,No
Rotor Shaft,Mechanical,1,Brushless DC Motor Assembly,Buy,Stainless Steel,1.8 g,Custom,No
Shaft Surface Polishing Process,Process,1,Rotor Shaft,Make,N/A,0 g,Custom,No
Upper Sleeve Bearing,Mechanical,1,Brushless DC Motor Assembly,Buy,Oil-Impregnated Bronze,1.1 g,Standard,No
Lower Sleeve Bearing,Mechanical,1,Brushless DC Motor Assembly,Buy,Oil-Impregnated Bronze,1.1 g,Standard,No
Bearing Lubrication Oil,Material,1,Brushless DC Motor Assembly,Buy,Synthetic Oil,0.2 g,Standard,No
Bearing Retainer Washer,Mechanical,1,Brushless DC Motor Assembly,Buy,Spring Steel,0.15 g,Standard,No
Stator Core Lamination,Electrical,1,Brushless DC Motor Assembly,Buy,Silicon Steel,4.8 g,Custom,No
Copper Winding – Phase A,Electrical,1,Brushless DC Motor Assembly,Make,Enameled Copper,2.1 g,Custom,No
Copper Winding – Phase B,Electrical,1,Brushless DC Motor Assembly,Make,Enameled Copper,2.1 g,Custom,No
Copper Winding – Phase C,Electrical,1,Brushless DC Motor Assembly,Make,Enameled Copper,2.1 g,Custom,No
Winding Insulation Coating,Material,1,Brushless DC Motor Assembly,Make,Epoxy Resin,0.4 g,Custom,No
Motor Control PCB,Component,1,Cooling Fan Sub-Assembly,Make,FR-4,2.8 g,Custom,No
PCB Copper Layer,Material,1,Motor Control PCB,Make,Copper,0.35 g,Custom,No
PCB Solder Mask,Material,1,Motor Control PCB,Make,Epoxy,0 g,Custom,No
PCB Surface Finish,Process,1,Motor Control PCB,Make,ENIG,0 g,Custom,No
BLDC Motor Driver IC,Electrical,1,Motor Control PCB,Buy,Silicon,0.12 g,Standard,No
Hall Sensor IC – U1,Electrical,1,Motor Control PCB,Buy,Silicon,0.08 g,Standard,No
Hall Sensor IC – U2,Electrical,1,Motor Control PCB,Buy,Silicon,0.08 g,Standard,No
Hall Sensor IC – U3,Electrical,1,Motor Control PCB,Buy,Silicon,0.08 g,Standard,No
PWM Control IC,Electrical,1,Motor Control PCB,Buy,Silicon,0.1 g,Standard,No
Flyback Diode,Electrical,1,Motor Control PCB,Buy,Silicon,0.04 g,Standard,No
Current Sense Resistor,Electrical,1,Motor Control PCB,Buy,Thick Film,0.02 g,Standard,No
Pull-Up Resistor – R1,Electrical,1,Motor Control PCB,Buy,Thick Film,0.01 g,Standard,No
Pull-Up Resistor – R2,Electrical,1,Motor Control PCB,Buy,Thick Film,0.01 g,Standard,No
Pull-Up Resistor – R3,Electrical,1,Motor Control PCB,Buy,Thick Film,0.01 g,Standard,No
Decoupling Capacitor – C1,Electrical,1,Motor Control PCB,Buy,MLCC,0.01 g,Standard,No
Decoupling Capacitor – C2,Electrical,1,Motor Control PCB,Buy,MLCC,0.01 g,Standard,No
Decoupling Capacitor – C3,Electrical,1,Motor Control PCB,Buy,MLCC,0.01 g,Standard,No
Fan Power Cable,Component,1,Cooling Fan Sub-Assembly,Buy,Copper / PVC,2.6 g,Custom,No
Cable PVC Insulation,Material,1,Fan Power Cable,Make,PVC,0.9 g,Custom,No
Ferrite Bead EMI Filter,Electrical,1,Fan Power Cable,Buy,Ferrite,0.35 g,Standard,No
Fan Connector Housing,Electrical,1,Cooling Fan Sub-Assembly,Buy,Nylon,0.3 g,Standard,No
Crimp Terminal – Pin 1,Electrical,1,Fan Connector Housing,Buy,Phosphor Bronze,0.08 g,Standard,No
Crimp Terminal – Pin 2,Electrical,1,Fan Connector Housing,Buy,Phosphor Bronze,0.08 g,Standard,No
Crimp Terminal – Pin 3,Electrical,1,Fan Connector Housing,Buy,Phosphor Bronze,0.08 g,Standard,No
Crimp Terminal – Pin 4,Electrical,1,Fan Connector Housing,Buy,Phosphor Bronze,0.08 g,Standard,No
Cable Strain Relief Clip,Mechanical,1,Cooling Fan Sub-Assembly,Buy,Nylon,0.25 g,Custom,No
Anti-Vibration Pad – A,Material,1,Cooling Fan Sub-Assembly,Buy,Silicone Rubber,0.6 g,Custom,No
Anti-Vibration Pad – B,Material,1,Cooling Fan Sub-Assembly,Buy,Silicone Rubber,0.6 g,Custom,No
Acoustic Absorber Foam,Material,1,Cooling Fan Sub-Assembly,Buy,PU Foam,1.1 g,Custom,No
Dust Filter Mesh,Material,1,Cooling Fan Sub-Assembly,Buy,Nylon Mesh,0.45 g,Custom,No
Fan Mounting Screw – 1,Fastener,1,Cooling Fan Sub-Assembly,Buy,Steel,0.4 g,Standard,Yes
Fan Mounting Screw – 2,Fastener,1,Cooling Fan Sub-Assembly,Buy,Steel,0.4 g,Standard,Yes
Fan Mounting Screw – 3,Fastener,1,Cooling Fan Sub-Assembly,Buy,Steel,0.4 g,Standard,Yes
Fan Identification Label,Material,1,Cooling Fan Sub-Assembly,Buy,PET,0.15 g,Standard,No
Laser Marking Process,Process,1,Fan Identification Label,Make,N/A,0 g,Custom,No
Fan Assembly Process,Process,1,Cooling Fan Sub-Assembly,Make,N/A,0 g,Custom,No
Rotor Dynamic Balancing,Process,1,Brushless DC Motor Assembly,Make,N/A,0 g,Custom,No
Electrical Spin-Up Test,Process,1,Cooling Fan Sub-Assembly,Make,N/A,0 g,Custom,No
PWM Speed Calibration,Process,1,Cooling Fan Sub-Assembly,Make,N/A,0 g,Custom,No
Noise & Vibration Test,Process,1,Cooling Fan Sub-Assembly,Make,N/A,0 g,Custom,No
Airflow & Static Pressure Test,Process,1,Cooling Fan Sub-Assembly,Make,N/A,0 g,Custom,No
Burn-In Reliability Test,Process,1,Cooling Fan Sub-Assembly,Make,N/A,0 g,Custom,No
ESD Protective Bag,Material,1,Cooling Fan Sub-Assembly,Buy,Conductive Plastic,5 g,Standard,No
Moisture Barrier Bag,Material,1,Cooling Fan Sub-Assembly,Buy,Aluminum Foil,4 g,Standard,No
Desiccant Pack,Material,1,Cooling Fan Sub-Assembly,Buy,Silica Gel,2 g,Standard,No
Humidity Indicator Card,Material,1,Cooling Fan Sub-Assembly,Buy,Paper / Chemical,1 g,Standard,No
